n_periods,mean_return,annualized_return,annualized_vol,sharpe,max_drawdown,total_return,win_rate,strategy,top_n,bottom_n,effective_spread_fraction,short_fee_bps_annual,horizon,avg_turnover,avg_spread_cost,avg_short_fee_cost,cost_scheme,cost_source,hurdle_bps
433,0.0008946860894482839,0.25277375416619274,0.22363752795065872,1.1302832600705655,-0.18299058777620006,0.4113963387151458,0.5381062355658198,long_short_decile,6.0,6.0,0.15,50.0,1,1.7105465742879133,0.00012829099307159358,1.984126984126984e-05,15pct_spread,equity_fallback_5bps_quoted_spread,
433,0.0012440010246933984,0.36792286164829413,0.2763383726022243,1.3314215401344252,-0.2518030527009723,0.6049991600643663,0.2840646651270208,long_flat_hurdle,,,0.15,,1,0.6664816258540215,4.998612193905161e-05,,15pct_spread,equity_fallback_5bps_quoted_spread,10.0
433,0.0008091587607338882,0.22608425078344863,0.22362900560018317,1.0109790998563715,-0.1877695750296688,0.3601208847164026,0.535796766743649,long_short_decile,6.0,6.0,0.25,50.0,1,1.7105465742879133,0.00021381832178598927,1.984126984126984e-05,25pct_spread,equity_fallback_5bps_quoted_spread,
433,0.0012106769434006973,0.3564975616589692,0.276292167782891,1.290291956227667,-0.2531037986480221,0.5820587222748903,0.2817551963048499,long_flat_hurdle,,,0.25,,1,0.6664816258540215,8.331020323175272e-05,,25pct_spread,equity_fallback_5bps_quoted_spread,10.0
431,-0.0003829861446814199,-0.03166482669082493,0.20828663048198975,-0.1520252481762767,-0.6038446087838868,-0.24159434631427334,0.4779582366589327,long_short_decile,6.0,6.0,0.15,50.0,3,1.4957463263727764,0.00011218097447795826,5.9523809523809524e-05,15pct_spread,equity_fallback_5bps_quoted_spread,
431,0.0024618484623933493,0.22941830964609022,0.1956627418974508,1.1725191389085772,-0.31315385794820644,1.6230707126306823,0.2505800464037123,long_flat_hurdle,,,0.15,,3,0.509857488028583,3.823931160214374e-05,,15pct_spread,equity_fallback_5bps_quoted_spread,10.0
431,-0.00045777346100005917,-0.03773151304406197,0.20828579572743636,-0.18115259810341355,-0.6100561776753723,-0.26567148358168,0.4779582366589327,long_short_decile,6.0,6.0,0.25,50.0,3,1.4957463263727764,0.00018696829079659706,5.9523809523809524e-05,25pct_spread,equity_fallback_5bps_quoted_spread,
431,0.0024363555879919198,0.22679486649782077,0.1956087492089727,1.1594310960780763,-0.3134698306145143,1.5945908574196008,0.2505800464037123,long_flat_hurdle,,,0.25,,3,0.509857488028583,6.373218600357289e-05,,25pct_spread,equity_fallback_5bps_quoted_spread,10.0
429,-0.001399590723314514,-0.06815499491920385,0.19371938195505534,-0.35182331386446625,-0.7639761953311128,-0.5325936913742687,0.47785547785547783,long_short_decile,6.0,6.0,0.15,50.0,5,1.1118881118881119,8.339160839160839e-05,9.92063492063492e-05,15pct_spread,equity_fallback_5bps_quoted_spread,
429,0.005501939097437697,0.31855663428401915,0.18842030673014065,1.6906703943554362,-0.40268150955522714,8.081711437963548,0.5244755244755245,long_flat_hurdle,,,0.15,,5,0.6560276428575798,4.920207321431847e-05,,15pct_spread,equity_fallback_5bps_quoted_spread,10.0
429,-0.00145518512890892,-0.070766052770183,0.19373829184342004,-0.3652662160734666,-0.7656971681440689,-0.5436473873061909,0.47785547785547783,long_short_decile,6.0,6.0,0.25,50.0,5,1.1118881118881119,0.00013898601398601402,9.92063492063492e-05,25pct_spread,equity_fallback_5bps_quoted_spread,
429,0.005469137715294819,0.3163904836122069,0.18841559158276336,1.67921604021411,-0.40432231455887885,7.955461118487008,0.5244755244755245,long_flat_hurdle,,,0.25,,5,0.6560276428575798,8.200345535719747e-05,,25pct_spread,equity_fallback_5bps_quoted_spread,10.0
