target,feature,label,share
return,iv_25dc_6m,iv_25dc_6m,0.08331137150526047
return,feat_41,risk_free_rate,0.05428513512015343
return,feat_38,vix_close,0.050895579159259796
return,feat_36,dist_sma50,0.04831904172897339
return,feat_43,days_to_next_earnings,0.04702002927660942
return,feat_31,hvol_30d,0.04671045392751694
return,feat_33,macd_value,0.04526152089238167
return,iv_atm_2m,iv_atm_2m,0.037863221019506454
return,feat_30,hvol_ratio_10d_30d,0.03283729776740074
return,iv_25dp_1m,iv_25dp_1m,0.0299843680113554
return,iv_10dc_3m,iv_10dc_3m,0.027783744037151337
return,feat_37,atr_14,0.025330595672130585
return,feat_32,rsi_14,0.023702513426542282
return,iv_25dp_3m,iv_25dp_3m,0.023479038849473
return,feat_27,ret_1d_lag,0.02205825038254261
volatility,feat_38,vix_close,0.1642129272222519
volatility,feat_43,days_to_next_earnings,0.09120553731918335
volatility,iv_25dc_6m,iv_25dc_6m,0.08679445832967758
volatility,iv_25dc_3m,iv_25dc_3m,0.07933514565229416
volatility,feat_41,risk_free_rate,0.06332382559776306
volatility,feat_31,hvol_30d,0.038331255316734314
volatility,iv_10dc_3m,iv_10dc_3m,0.03502495586872101
volatility,iv_atm_6m,iv_atm_6m,0.033625710755586624
volatility,iv_atm_1m,iv_atm_1m,0.02560913935303688
volatility,svi_a,svi_a,0.024117598310112953
volatility,iv_atm_3m,iv_atm_3m,0.020691167563199997
volatility,iv_25dp_1m,iv_25dp_1m,0.018781837075948715
volatility,iv_25dc_1m,iv_25dc_1m,0.017934409901499748
volatility,feat_37,atr_14,0.016967417672276497
volatility,feat_33,macd_value,0.016105005517601967
