pooled_r2,pooled_rmse,pooled_accuracy,pooled_ic,model,feature_set,scheme,n_windows
-0.0582728220688149,0.03490003025997148,0.5233389714828334,0.00014917014259093476,XGBoost,A,expanding,27
-0.12530743599069805,0.03440149825497325,0.5173626777627379,0.00772414540377959,XGBoost,A,rolling_9m_3m,32
-0.012114801204384351,0.03413043865842778,0.5398181944073513,0.004928542109458114,XGBoost,B,expanding,27
-0.03704776942305221,0.03302487206695925,0.5321685800705203,0.023712518273448318,XGBoost,B,rolling_9m_3m,32
-0.04653829968417078,0.03470599863341775,0.5205990286556476,0.004799686305298096,XGBoost,C,expanding,27
-0.11342710864150751,0.03421942112421299,0.5165689076051536,0.009287439048620954,XGBoost,C,rolling_9m_3m,32
-0.007983727603630753,0.03406071360308672,0.5435077203082188,0.011231858963626305,XGBoost,candidate_6,expanding,27
-0.027698374925521962,0.03287566890338914,0.5316254741732257,0.013683918307238273,XGBoost,candidate_6,rolling_9m_3m,32
-0.054102556693406134,0.03483119826775467,0.5235170183091487,0.00781581575432076,XGBoost,D,expanding,27
-0.11211706656351494,0.034199284163641354,0.5177219632024865,0.011168760835776077,XGBoost,D,rolling_9m_3m,32
